dataset,model,input_length,prediction_length,mse,mae,rmse,mape,mspe
Security,iTransformer_GPT2_Security_ftSsl24ll0pl10pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,10,89.1637954711914,5.48415994644165,9.442658424377441,1.150815486907959,9.767539024353027
Security,iTransformer_GPT2_Security_ftSsl8ll0pl6pw0.8dm256nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,6,74.86146545410156,4.459150791168213,8.652252197265625,2.7727248668670654,238.7816162109375
Security,iTransformer_GPT2_Security_ftSsl8ll0pl8pw0.9dm128nh4el1dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,8,81.1605224609375,4.932182788848877,9.008913040161133,2.3353030681610107,170.9767303466797
Security,iTransformer_GPT2_Security_ftSsl24ll0pl8pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,8,85.77598571777344,5.383936405181885,9.2615327835083,1.3857371807098389,17.21639633178711
Security,iTransformer_GPT2_Security_ftSsl8ll0pl10pw0.9dm128nh4el1dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,10,84.44637298583984,5.05989408493042,9.189470291137695,1.945399284362793,113.61329650878906
Security,iTransformer_GPT2_Security_ftSsl24ll0pl6pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,6,83.334716796875,5.298098564147949,9.128785133361816,1.732848048210144,41.950687408447266
Security,iTransformer_GPT2_Security_ftSsl24ll0pl12pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,90.14654541015625,5.362639427185059,9.494553565979004,1.2851903438568115,21.403200149536133
Security,iTransformer_GPT2_Security_ftSsl8ll0pl12pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,12,87.07576751708984,5.1580352783203125,9.331439971923828,1.6634730100631714,92.568603515625
Economy,iTransformer_GPT2_Economy_ftSsl24ll0pl10pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,10,0.03707115724682808,0.1527041792869568,0.19253872334957123,0.05172392725944519,0.004119236022233963
Economy,iTransformer_GPT2_Economy_ftSsl8ll0pl6pw0.8dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,6,0.04001160338521004,0.16086429357528687,0.20002900063991547,0.05463629961013794,0.00447677681222558
