dataset,model,input_length,prediction_length,mse,mae,rmse,mape,mspe
Security,iTransformer_GPT2_Security_ftSsl24ll0pl10pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,10,84.08501434326172,4.993302822113037,9.169788360595703,1.5891035795211792,47.42124557495117
Security,iTransformer_GPT2_Security_ftSsl8ll0pl6pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,6,71.4002914428711,4.212003707885742,8.449869155883789,3.9675018787384033,635.4920654296875
Security,iTransformer_GPT2_Security_ftSsl8ll0pl8pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,8,77.68134307861328,4.597085952758789,8.813701629638672,2.6786117553710938,270.3723449707031
Security,iTransformer_GPT2_Security_ftSsl24ll0pl8pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,8,81.69746398925781,4.953806400299072,9.038664817810059,1.7603051662445068,60.70899200439453
Security,iTransformer_GPT2_Security_ftSsl8ll0pl10pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,10,79.1427993774414,4.565918445587158,8.896224021911621,2.413062572479248,292.24774169921875
Security,iTransformer_GPT2_Security_ftSsl24ll0pl6pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,6,77.37982940673828,4.690640926361084,8.79658031463623,2.439833164215088,151.11849975585938
Security,iTransformer_GPT2_Security_ftSsl24ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,87.57879638671875,5.103628158569336,9.358354568481445,1.4616726636886597,41.83190155029297
Security,iTransformer_GPT2_Security_ftSsl8ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,12,84.01211547851562,4.80066442489624,9.165812492370605,2.310457468032837,297.2401428222656
Economy,iTransformer_GPT2_Economy_ftSsl24ll0pl10pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,10,0.03005470708012581,0.13912789523601532,0.17336294054985046,0.04726814851164818,0.0033818231895565987
Economy,iTransformer_GPT2_Economy_ftSsl8ll0pl6pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,6,0.031780850142240524,0.14306074380874634,0.1782718449831009,0.04870370402932167,0.00358824385330081
Economy,iTransformer_GPT2_Economy_ftSsl8ll0pl8pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,8,0.02261103130877018,0.12222518026828766,0.15036964416503906,0.04182027280330658,0.0025894653517752886
Economy,iTransformer_GPT2_Economy_ftSsl24ll0pl8pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,8,0.02613382786512375,0.13032673299312592,0.1616595983505249,0.04438681900501251,0.002951097209006548
Economy,iTransformer_GPT2_Economy_ftSsl8ll0pl10pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,10,0.026392662897706032,0.13126641511917114,0.16245818138122559,0.04470706358551979,0.0029809437692165375
Economy,iTransformer_GPT2_Economy_ftSsl24ll0pl6pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,6,0.023067831993103027,0.12267284095287323,0.15188097953796387,0.04190176725387573,0.002615908859297633
Economy,iTransformer_GPT2_Economy_ftSsl24ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,12,0.026738807559013367,0.13206882774829865,0.16352005302906036,0.044853806495666504,0.0030000952538102865
Economy,iTransformer_GPT2_Economy_ftSsl8ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,8,12,0.02766481414437294,0.13376368582248688,0.16632743179798126,0.04543380066752434,0.003105015028268099
Energy,iTransformer_GPT2_Energy_ftSsl24ll0pl48pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,48,0.6291051506996155,0.6639747023582458,0.7931615114212036,4.5551066398620605,366.8144226074219
Energy,iTransformer_GPT2_Energy_ftSsl24ll0pl36pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,24,36,0.5353760123252869,0.6051077246665955,0.7316939234733582,3.959935426712036,302.8536682128906
Energy,iTransformer_GPT2_Energy_ftSsl36ll0pl12pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,36,12,0.41047441959381104,0.5252636671066284,0.6406827569007874,2.289303779602051,45.72458267211914
Energy,iTransformer_GPT2_Energy_ftSsl36ll0pl24pw0.5dm512nh8el2dl1df2048expand2dc4fc1ebtimeFdtTrueExp,36,24,0.5314915776252747,0.5773925185203552,0.7290346622467041,2.6152310371398926,82.9833984375
